 TIME                    	teplota_privod_otopka    	prutok                   	privod                   	
  +3.6833333333333331E+00	  +3.6000000000000000E+01	  +1.1340000000000000E+03	  +2.6274988486551369E+01	
  +3.7000000000000002E+00	  +3.6000000000000000E+01	  +1.1340000000000000E+03	  +2.6150143912092087E+01	
  +3.7166666666666668E+00	  +3.6000000000000000E+01	  +1.1350000000000000E+03	  +2.6129602153881873E+01	
  +3.7333333333333334E+00	  +3.6000000000000000E+01	  +1.1330000000000000E+03	  +2.6123527667375225E+01	
  +3.7500000000000000E+00	  +3.6000000000000000E+01	  +1.1340000000000000E+03	  +2.6124213996106857E+01	
  +3.7666666666666666E+00	  +3.6000000000000000E+01	  +1.1320000000000000E+03	  +2.6122796170494503E+01	
  +3.7833333333333332E+00	  +3.7000000000000000E+01	  +1.1340000000000000E+03	  +2.6271840712962160E+01	
  +3.7999999999999998E+00	  +3.7000000000000000E+01	  +1.1330000000000000E+03	  +2.6395807845187132E+01	
  +3.8166666666666669E+00	  +3.7000000000000000E+01	  +1.1350000000000000E+03	  +2.6417059989439121E+01	
  +3.8333333333333335E+00	  +3.8000000000000000E+01	  +1.1340000000000000E+03	  +2.6541472435477740E+01	
  +3.8500000000000001E+00	  +3.8000000000000000E+01	  +1.1320000000000000E+03	  +2.6632482609025864E+01	
  +3.8666666666666667E+00	  +3.8000000000000000E+01	  +1.1330000000000000E+03	  +2.6655571760153624E+01	
  +3.8833333333333333E+00	  +3.8000000000000000E+01	  +1.1340000000000000E+03	  +2.6672872970722509E+01	
  +3.8999999999999999E+00	  +3.8000000000000000E+01	  +1.1340000000000000E+03	  +2.6685090185120526E+01	
  +3.9166666666666665E+00	  +3.8000000000000000E+01	  +1.1330000000000000E+03	  +2.6694320952166144E+01	
  +3.9333333333333331E+00	  +3.8000000000000000E+01	  +1.1340000000000000E+03	  +2.6700769100791028E+01	
  +3.9500000000000002E+00	  +3.8000000000000000E+01	  +1.1350000000000000E+03	  +2.6705697506521538E+01	
  +3.9666666666666668E+00	  +3.8000000000000000E+01	  +1.1350000000000000E+03	  +2.6709106265209630E+01	
  +3.9833333333333334E+00	  +3.8000000000000000E+01	  +1.1340000000000000E+03	  +2.6711745982869157E+01	
  +4.0000000000000000E+00	  +3.8000000000000000E+01	  +1.1350000000000000E+03	  +2.6871208460758194E+01	
  +4.0166666666666666E+00	  +3.8000000000000000E+01	  +1.1290000000000000E+03	  +2.7105333522803942E+01	
  +4.0333333333333332E+00	  +3.8000000000000000E+01	  +1.1290000000000000E+03	  +2.7269596370586214E+01	
  +4.0499999999999998E+00	  +3.7000000000000000E+01	  +1.1290000000000000E+03	  +2.7345354679204007E+01	
  +4.0666666666666664E+00	  +3.7000000000000000E+01	  +1.1290000000000000E+03	  +2.7363803558994373E+01	
  +4.0833333333333330E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.7381912000554760E+01	
  +4.0999999999999996E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.7391365079712099E+01	
  +4.1166666666666663E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.7401530246555961E+01	
  +4.1333333333333337E+00	  +3.7000000000000000E+01	  +1.1290000000000000E+03	  +2.7406239244026743E+01	
  +4.1500000000000004E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.7412119778233478E+01	
  +4.1666666666666670E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.7414124054074339E+01	
  +4.1833333333333336E+00	  +3.7000000000000000E+01	  +1.1280000000000000E+03	  +2.7417847992100619E+01	
  +4.2000000000000002E+00	  +3.7000000000000000E+01	  +1.1290000000000000E+03	  +2.7419024004271858E+01	
  +4.2166666666666668E+00	  +3.7000000000000000E+01	  +1.1290000000000000E+03	  +2.7421254514744341E+01	
  +4.2333333333333334E+00	  +3.7000000000000000E+01	  +1.1310000000000000E+03	  +2.7421972421475068E+01	
  +4.2500000000000000E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.7423230896573802E+01	
  +4.2666666666666666E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.7423457694368167E+01	
  +4.2833333333333332E+00	  +3.7000000000000000E+01	  +1.1290000000000000E+03	  +2.7424291318300483E+01	
  +4.2999999999999998E+00	  +3.7000000000000000E+01	  +1.1290000000000000E+03	  +2.7424395207917883E+01	
  +4.3166666666666664E+00	  +3.7000000000000000E+01	  +1.1270000000000000E+03	  +2.7424972111852668E+01	
  +4.3333333333333330E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.7425023610947626E+01	
  +4.3499999999999996E+00	  +3.7000000000000000E+01	  +1.1290000000000000E+03	  +2.7425439541564838E+01	
  +4.3666666666666663E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.7425469177669029E+01	
  +4.3833333333333337E+00	  +3.7000000000000000E+01	  +1.1280000000000000E+03	  +2.7425768499984436E+01	
  +4.4000000000000004E+00	  +3.6000000000000000E+01	  +1.1300000000000000E+03	  +2.7279488846045890E+01	
  +4.4166666666666670E+00	  +3.6000000000000000E+01	  +1.1300000000000000E+03	  +2.7157564654793248E+01	
