 TIME                    	teplota_privod_otopka    	prutok                   	privod                   	
  +1.0683333333333334E+01	  +2.4000000000000000E+01	  +1.1360000000000000E+03	  +2.4745227073615595E+01	
  +1.0699999999999999E+01	  +2.4000000000000000E+01	  +1.1390000000000000E+03	  +2.4744702628106367E+01	
  +1.0716666666666667E+01	  +2.4000000000000000E+01	  +1.1360000000000000E+03	  +2.4745811395232177E+01	
  +1.0733333333333333E+01	  +2.4000000000000000E+01	  +1.1380000000000000E+03	  +2.4745369405546821E+01	
  +1.0750000000000000E+01	  +2.4000000000000000E+01	  +1.1320000000000000E+03	  +2.4746504545640356E+01	
  +1.0766666666666667E+01	  +2.4000000000000000E+01	  +1.1350000000000000E+03	  +2.4748109240183947E+01	
  +1.0783333333333333E+01	  +2.4000000000000000E+01	  +1.1370000000000000E+03	  +2.4748965832849375E+01	
  +1.0800000000000001E+01	  +2.4000000000000000E+01	  +1.1360000000000000E+03	  +2.4747165946156564E+01	
  +1.0816666666666666E+01	  +2.4000000000000000E+01	  +1.1360000000000000E+03	  +2.4747708395155879E+01	
  +1.0833333333333334E+01	  +2.4000000000000000E+01	  +1.1330000000000000E+03	  +2.4749558976530867E+01	
  +1.0850000000000000E+01	  +2.4000000000000000E+01	  +1.1350000000000000E+03	  +2.4751200880804745E+01	
  +1.0866666666666667E+01	  +2.4000000000000000E+01	  +1.1330000000000000E+03	  +2.4750872885264069E+01	
  +1.0883333333333333E+01	  +2.4000000000000000E+01	  +1.1350000000000000E+03	  +2.4750721344818938E+01	
  +1.0900000000000000E+01	  +2.4000000000000000E+01	  +1.1350000000000000E+03	  +2.4751291787553043E+01	
  +1.0916666666666666E+01	  +2.4000000000000000E+01	  +1.1350000000000000E+03	  +2.4751708696920460E+01	
  +1.0933333333333334E+01	  +2.4000000000000000E+01	  +1.1340000000000000E+03	  +2.4752131270116180E+01	
  +1.0949999999999999E+01	  +2.4000000000000000E+01	  +1.1340000000000000E+03	  +2.4752958096749996E+01	
  +1.0966666666666667E+01	  +2.4000000000000000E+01	  +1.1330000000000000E+03	  +2.4753244255706313E+01	
  +1.0983333333333333E+01	  +2.4000000000000000E+01	  +1.1370000000000000E+03	  +2.4753589824855354E+01	
  +1.1000000000000000E+01	  +2.4000000000000000E+01	  +1.1320000000000000E+03	  +2.4753784379769460E+01	
  +1.1016666666666667E+01	  +2.4000000000000000E+01	  +1.1330000000000000E+03	  +2.4753088672038636E+01	
  +1.1033333333333333E+01	  +2.4000000000000000E+01	  +1.1360000000000000E+03	  +2.4751346050839111E+01	
  +1.1050000000000001E+01	  +2.4000000000000000E+01	  +1.1350000000000000E+03	  +2.4750301061833110E+01	
  +1.1066666666666666E+01	  +2.4000000000000000E+01	  +1.1320000000000000E+03	  +2.4749806218958199E+01	
  +1.1083333333333334E+01	  +2.4000000000000000E+01	  +1.1360000000000000E+03	  +2.4750830146568738E+01	
  +1.1100000000000000E+01	  +2.4000000000000000E+01	  +1.1330000000000000E+03	  +2.4753400536003898E+01	
  +1.1116666666666667E+01	  +2.4000000000000000E+01	  +1.1350000000000000E+03	  +2.4754439513424270E+01	
  +1.1133333333333333E+01	  +2.4000000000000000E+01	  +1.1360000000000000E+03	  +2.4753909921674499E+01	
  +1.1150000000000000E+01	  +2.4000000000000000E+01	  +1.1380000000000000E+03	  +2.4753409042192558E+01	
  +1.1166666666666666E+01	  +2.4000000000000000E+01	  +1.1320000000000000E+03	  +2.4753312995647732E+01	
  +1.1183333333333334E+01	  +2.4000000000000000E+01	  +1.1360000000000000E+03	  +2.4753457523321856E+01	
  +1.1199999999999999E+01	  +2.4000000000000000E+01	  +1.1350000000000000E+03	  +2.4752751600039350E+01	
  +1.1216666666666667E+01	  +2.4000000000000000E+01	  +1.1370000000000000E+03	  +2.4752042507587479E+01	
  +1.1233333333333333E+01	  +2.4000000000000000E+01	  +1.1340000000000000E+03	  +2.4751552104655591E+01	
  +1.1250000000000000E+01	  +2.4000000000000000E+01	  +1.1380000000000000E+03	  +2.4751082624215965E+01	
  +1.1266666666666667E+01	  +2.4000000000000000E+01	  +1.1330000000000000E+03	  +2.4750775239522998E+01	
  +1.1283333333333333E+01	  +2.4000000000000000E+01	  +1.1350000000000000E+03	  +2.4750702652905936E+01	
  +1.1300000000000001E+01	  +2.4000000000000000E+01	  +1.1360000000000000E+03	  +2.4750790259005825E+01	
  +1.1316666666666666E+01	  +2.4000000000000000E+01	  +1.1380000000000000E+03	  +2.4751041813115982E+01	
  +1.1333333333333334E+01	  +2.4000000000000000E+01	  +1.1380000000000000E+03	  +2.4751154640681747E+01	
  +1.1350000000000000E+01	  +2.4000000000000000E+01	  +1.1370000000000000E+03	  +2.4751711050486879E+01	
  +1.1366666666666667E+01	  +2.4000000000000000E+01	  +1.1380000000000000E+03	  +2.4753230668420521E+01	
  +1.1383333333333333E+01	  +2.4000000000000000E+01	  +1.1380000000000000E+03	  +2.4753967889733637E+01	
  +1.1400000000000000E+01	  +2.4000000000000000E+01	  +1.1360000000000000E+03	  +2.4753217413900600E+01	
  +1.1416666666666666E+01	  +2.4000000000000000E+01	  +1.1360000000000000E+03	  +2.4753225489197320E+01	
  +1.1433333333333334E+01	  +2.4000000000000000E+01	  +1.1380000000000000E+03	  +2.4754936975389636E+01	
  +1.1449999999999999E+01	  +2.4000000000000000E+01	  +1.1370000000000000E+03	  +2.4757299755792673E+01	
  +1.1466666666666667E+01	  +2.4000000000000000E+01	  +1.1390000000000000E+03	  +2.4758538037601244E+01	
  +1.1483333333333333E+01	  +2.4000000000000000E+01	  +1.1360000000000000E+03	  +2.4757722159234291E+01	
  +1.1500000000000000E+01	  +2.4000000000000000E+01	  +1.1380000000000000E+03	  +2.4757017969385203E+01	
  +1.1516666666666667E+01	  +2.4000000000000000E+01	  +1.1390000000000000E+03	  +2.4758204268167145E+01	
  +1.1533333333333333E+01	  +2.4000000000000000E+01	  +1.1380000000000000E+03	  +2.4758880013686330E+01	
